aspect_bucket,bearing_deg,case_group,case_id,clamp_fraction,entered_R_fuze,launch_class,local_forward_m,local_right_m,local_up_m,max_abs_heading_velocity_error_deg,max_apn_g,max_capture_g,max_component_sum_error_mps2,max_los_rate_rad_s,max_pn_g,max_postclamp_g,max_preclamp_g,nearest_approach_time_s,nearest_distance_m,offset_deg,pn_source_counts,profile,range_km,rho_fuze,target_kinematics_source_counts,trace_sample_count,variant_id
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.025157232704402517,False,O,-51.857146256397236,21.13245034818916,0.30548291178163595,100.33119340989685,0.0,706.6038418875268,6.022452254347028e-13,0.5829235330649527,32.36501271384758,35.0,738.9688546013743,13.18021851473981,55.99854815426392,45.0,"{""1"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",12.0,3.7332365436175947,"{""0"": 4, ""1"": 155}",159,legacy_no_apn
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.0,False,O,-206.22730949540065,51.77425068230208,1.091967223773017,101.40035953066037,2.2207327855750654,41.06893853444522,3.9139555044312746e-13,0.3519595762897393,19.497954184572727,29.27784196558022,29.27784196558022,12.875314801093982,212.6298864408382,45.0,"{""0"": 5, ""1"": 150}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 0, ""pn_mode"": 0}",12.0,14.175325762722546,"{""0"": 13, ""1"": 142}",155,legacy_no_lead
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.031446540880503145,False,O,-55.07929260803962,22.146682870429203,0.32327889515788394,100.5365215500192,0.0,521.9325286600252,2.5579538487363607e-13,0.5778131144329893,29.426986780291408,35.0,546.1694141809033,13.20831166108102,59.36588705316785,45.0,"{""1"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 0}",12.0,3.9577258035445237,"{""0"": 3, ""1"": 156}",159,legacy_track_velocity_no_apn
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.0,False,O,-282.2387502570773,126.00308291092136,1.6970411912691137,89.35718249044679,1.478264918365262,0.0,2.735553542559731e-13,0.3067941034699027,26.207436453624975,27.37706679536402,27.37706679536402,14.583918532083784,309.0928161548532,45.0,"{""0"": 5, ""1"": 171}","{""apn_mode"": 1, ""capture_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 0, ""pn_mode"": 0}",12.0,20.606187743656882,"{""0"": 13, ""1"": 163}",176,legacy_no_capture_no_lead
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.032467532467532464,False,O,-20.25514599780103,7.928616460653739,0.11895095417544621,97.26339325984728,2.564189933557924,587.8224258099766,1.3760747497474536e-13,1.0971443524680897,336.1929009721835,35.0,497.544121763729,12.775593225226991,21.751966524934822,45.0,"{""2"": 154}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",12.0,1.4501311016623215,"{""0"": 1, ""1"": 153}",154,history_full_track_quadratic
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.031446540880503145,False,O,-22.122986020220957,8.404047993881283,0.1288527176704596,98.36713459880883,0.0,1040.8727142212738,4.547473508864641e-13,0.9330880936006414,274.9727440190329,35.0,765.8999702022409,13.181110541449344,23.66582211031815,45.0,"{""2"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",12.0,1.57772147402121,"{""0"": 2, ""1"": 157}",159,history_track_quadratic_no_apn
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.025157232704402517,False,O,-23.195760365125093,8.779010600172905,0.13491499576284596,99.70159084433931,0.0,668.0237076861254,5.684341886080802e-14,0.9518117476174134,279.364893173175,35.0,388.6588145129503,13.216607786524936,24.80186541553584,45.0,"{""2"": 159}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 2}",12.0,1.653457694369056,"{""0"": 1, ""1"": 158}",159,history_track_velocity_no_apn
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.024691358024691357,False,O,-23.593270892556134,8.873105593573015,0.13699617529616837,101.15522171259686,0.0,717.7832078761201,5.123796534383003e-14,0.8227306818191856,231.5860383076552,35.0,717.7832078761201,13.475330842491603,25.207007006708807,45.0,"{""0"": 1, ""3"": 161}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 3}",12.0,1.6804671337805872,"{""0"": 1, ""1"": 161}",162,analytic_track_quadratic_no_apn
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.03067484662576687,False,O,-25.872106850621112,10.223951034125932,0.15191550739834742,100.07093398703584,0.0,851.263388663422,4.0194366942304644e-14,0.6835815595007453,195.67571703110372,35.0,851.263388663422,13.509009434983039,27.819384715688766,45.0,"{""0"": 2, ""3"": 161}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 3}",12.0,1.8546256477125844,"{""0"": 2, ""1"": 161}",163,analytic_track_velocity_no_apn
tail,45.0,O_near,guidance_exact_cv_12km_p45deg,0.032467532467532464,False,O,-15.943608901833676,4.357000750172375,0.08698249246929633,100.82342026314952,0.0,1840.6623974045974,9.094947017729282e-13,29.11280055932933,3058.0920222313475,35.0,4898.754419635945,12.762399476939857,16.528450813842788,45.0,"{""3"": 154}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 1, ""lead_mode"": 1, ""pn_mode"": 3}",12.0,1.1018967209228525,"{""2"": 154}",154,analytic_truth_velocity_no_apn
