case_id,target_motion_layer,target_acceleration_x_mps2,range_km,bearing_deg,launch_class,seed_count,complete_effect_chain_count,in_radius_fuze_blocked_count,outside_no_load_count,chain_states,outcome_states,nearest_distance_min_m,nearest_distance_max_m,nearest_distance_spread_m,terminal_track_residual_causes,max_seeker_fov_excess_deg,max_detection_fov_excess_deg,structural_consistent,nominal_guidance_residual,legacy_negative_control_alert,in_radius_fuze_blocked
kces_anchor_grid_cv_6km_p90deg,nonmaneuvering_constant_velocity,0.0,6.0,90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],6000.06749337164,6000.06749337164,0.0,[],0.0,82.18436212366768,True,False,False,False
kces_anchor_grid_cv_8km_m15deg,nonmaneuvering_constant_velocity,0.0,8.0,-15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001372357049638965,0.001372357049638965,0.0,[],71.29684769840523,71.29867504863776,True,False,False,False
kces_anchor_grid_cv_8km_m30deg,nonmaneuvering_constant_velocity,0.0,8.0,-30.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001375464009472499,0.001375464009472499,0.0,[],51.896394755941685,51.89934992455133,True,False,False,False
kces_anchor_grid_cv_8km_m45deg,nonmaneuvering_constant_velocity,0.0,8.0,-45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0014012230987433575,0.0014012230987433575,0.0,[],30.60174178679263,30.60709959448036,True,False,False,False
kces_anchor_grid_cv_8km_m60deg,nonmaneuvering_constant_velocity,0.0,8.0,-60.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001404365961565786,0.001404365961565786,0.0,[],3.3087456565957183,3.320275289468057,True,False,False,False
kces_anchor_grid_cv_8km_m75deg,nonmaneuvering_constant_velocity,0.0,8.0,-75.0,O,3,0,0,3,['outside_no_load'],[''],6229.943256055514,6229.943256055514,0.0,[],6.259458678233457,32.90568747777034,True,False,False,False
kces_anchor_grid_cv_8km_m90deg,nonmaneuvering_constant_velocity,0.0,8.0,-90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],8000.050520275359,8000.050520275359,0.0,[],0.0,79.62880587495661,True,False,False,False
kces_anchor_grid_cv_8km_p0deg,nonmaneuvering_constant_velocity,0.0,8.0,0.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013622121336378274,0.0013622121336378274,0.0,[],89.99999999999997,90.0,True,False,False,False
kces_anchor_grid_cv_8km_p15deg,nonmaneuvering_constant_velocity,0.0,8.0,15.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013678847721720656,0.0013678847721720656,0.0,[],71.29684769840222,71.2986750486343,True,False,False,False
kces_anchor_grid_cv_8km_p30deg,nonmaneuvering_constant_velocity,0.0,8.0,30.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013710701979743809,0.0013710701979743809,0.0,[],51.896394755941685,51.89934992455133,True,False,False,False
kces_anchor_grid_cv_8km_p45deg,nonmaneuvering_constant_velocity,0.0,8.0,45.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0013961358746126986,0.0013961358746126986,0.0,[],30.60174178679263,30.60709959448036,True,False,False,False
kces_anchor_grid_cv_8km_p60deg,nonmaneuvering_constant_velocity,0.0,8.0,60.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0014037486532474895,0.0014037486532474895,0.0,[],3.3087456565957183,3.320275289468057,True,False,False,False
kces_anchor_grid_cv_8km_p75deg,nonmaneuvering_constant_velocity,0.0,8.0,75.0,O,3,0,0,3,['outside_no_load'],[''],6229.943292955612,6229.943292955612,0.0,[],6.259458678233457,32.90568747777034,True,False,False,False
kces_anchor_grid_cv_8km_p90deg,nonmaneuvering_constant_velocity,0.0,8.0,90.0,O,3,0,0,3,['outside_no_load'],['missile_timeout'],8000.0506344215655,8000.0506344215655,0.0,[],0.0,79.62880587495661,True,False,False,False
kces_anchor_grid_mild_10km_m30deg,mild_maneuver,-8.0,10.0,-30.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001985961178841626,0.001985961178841626,0.0,[],50.33786211553607,50.34844494102407,True,False,True,False
kces_anchor_grid_mild_10km_m60deg,mild_maneuver,-8.0,10.0,-60.0,O,3,0,0,3,['outside_no_load'],[''],86.8042715092514,86.8042715092514,0.0,[],0.4161842821415007,78.1444442188855,True,False,False,False
kces_anchor_grid_mild_10km_p0deg,mild_maneuver,8.0,10.0,0.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0019117927397961391,0.0019117927397961391,0.0,[],89.38918341590386,89.39650770776393,True,False,False,False
kces_anchor_grid_mild_10km_p30deg,mild_maneuver,8.0,10.0,30.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0019186889627894018,0.0019186889627894018,0.0,[],50.33786211553607,50.34844494102407,True,False,True,False
kces_anchor_grid_mild_10km_p60deg,mild_maneuver,8.0,10.0,60.0,O,3,0,0,3,['outside_no_load'],[''],86.8044902544037,86.8044902544037,0.0,[],0.4161842821415007,78.1444442188855,True,False,False,False
kces_anchor_grid_mild_6km_m30deg,mild_maneuver,-8.0,6.0,-30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0019882532562915055,0.0019882532562915055,0.0,[],51.980655465704245,51.99003436623104,True,False,False,False
kces_anchor_grid_mild_6km_m60deg,mild_maneuver,-8.0,6.0,-60.0,O,3,0,3,0,['in_radius_fuze_blocked'],['fuze_no_terminal_track'],13.317615731677678,13.317615731677678,0.0,['seeker_fov_exit_then_memory_timeout'],0.29954074900371097,85.45578310712699,True,False,True,True
kces_anchor_grid_mild_6km_p0deg,mild_maneuver,8.0,6.0,0.0,N,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0018069464643969196,0.0018069464643969196,0.0,[],89.66577907047724,89.67327353200403,True,False,False,False
kces_anchor_grid_mild_6km_p30deg,mild_maneuver,8.0,6.0,30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0019518607616491003,0.0019518607616491003,0.0,[],51.980655465704245,51.99003436623104,True,False,False,False
kces_anchor_grid_mild_6km_p60deg,mild_maneuver,8.0,6.0,60.0,O,3,0,3,0,['in_radius_fuze_blocked'],['fuze_no_terminal_track'],13.31770270498944,13.31770270498944,0.0,['seeker_fov_exit_then_memory_timeout'],0.29954074900371097,85.45578310712699,True,False,True,True
kces_anchor_grid_mild_8km_m30deg,mild_maneuver,-8.0,8.0,-30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001979465518473262,0.001979465518473262,0.0,[],51.125763254262466,51.13609270863549,True,False,False,False
kces_anchor_grid_mild_8km_m60deg,mild_maneuver,-8.0,8.0,-60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001454337260595151,0.001454337260595151,0.0,[],0.2703958404840847,0.282850523930648,True,False,True,False
kces_anchor_grid_mild_8km_p0deg,mild_maneuver,8.0,8.0,0.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001903962693065239,0.001903962693065239,0.0,[],89.53693704619579,89.54143528442688,True,False,False,False
kces_anchor_grid_mild_8km_p30deg,mild_maneuver,8.0,8.0,30.0,M,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.001930825424082481,0.001930825424082481,0.0,[],51.12576325425954,51.13609270863327,True,False,False,False
kces_anchor_grid_mild_8km_p60deg,mild_maneuver,8.0,8.0,60.0,O,3,3,0,0,['complete_effect_chain'],['damage_applied'],0.0014145202949789526,0.0014145202949789526,0.0,[],0.2703958404840847,0.282850523930648,True,False,True,False
