classification_reason,diagnostics_profile_attached,existing_8_neighbor_count,grid_tier,hit_run_count,max_achieved_lateral_g,max_capture_component_g,max_guidance_saturation_fraction,max_mirror_abs_difference_m,max_mirror_abs_difference_rho,max_postclamp_command_g,max_preclamp_command_g,max_seed_spread_m,max_seed_spread_rho,minimum_abs_rho_minus_one,mirror_entry_classification_consistent,nearest_distance_max_m,nearest_distance_mean_m,nearest_distance_min_m,neighbor_mixed_count,neighbor_robust_hit_count,neighbor_robust_miss_count,offset_deg,range_km,reclassified_launch_class,refinement_reasons,resolved_runtime_contract_matches,rho_max,rho_mean,rho_median,rho_min,robust_state,run_count,seed_count,signed_bearing_count,within_boundary_rho_band
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,28.904150502647333,0.0,0.0,3.564596045180224e-05,2.3763973331369925e-06,29.06628251494858,29.06628251494858,0.0,0.0,638.055835027801,True,9585.837561062976,9585.837543239995,9585.837525417015,0,0,8,70.0,14.0,O,[],True,639.0558374041983,639.0558362159996,639.0558362159996,639.055835027801,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,19.873684650813342,0.0,0.0,4.255323619872797e-05,2.836882345036429e-06,20.04140015745766,20.04140015745766,0.0,0.0,854.0228035933553,True,12825.342096453565,12825.342075176946,12825.34205390033,0,0,8,75.0,14.0,O,[],True,855.0228064302377,855.0228050117965,855.0228050117964,855.0228035933553,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,4.873393076078424,0.0,0.0,7.987498429429252e-05,5.324999051481427e-06,5.868639129817018,5.868639129817018,0.0,0.0,919.2625862177163,True,13803.938873140729,13803.938833203238,13803.938793265745,0,0,8,80.0,14.0,O,[],True,920.2625915427153,920.2625888802158,920.2625888802158,920.2625862177163,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,8,main,0,5.629772973764953,0.0,0.0,0.00010185355495195836,6.790236966480734e-06,5.695147411829227,5.695147411829227,0.0,0.0,930.8885161488407,True,13978.327844086165,13978.327793159386,13978.32774223261,0,0,8,85.0,14.0,O,[],True,931.8885229390777,931.8885195439592,931.8885195439592,931.8885161488407,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_miss,False,5,main,0,0.0,0.0,0.0,0.00011414669279474765,7.609779459016863e-06,0.0,0.0,0.0,0.0,932.3352562886773,True,14000.028958476852,14000.028901403506,14000.02884433016,0,0,5,90.0,14.0,O,[],True,933.3352638984568,933.3352600935672,933.3352600935671,933.3352562886773,robust_miss,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,5,main,3,1.8014706545557722,0.0,0.0,0.0,0.0,6.124999999999999,6.124999999999999,0.0,0.0,0.9999091858412974,True,0.0013622123805395352,0.0013622123805395352,0.0013622123805395352,0,5,0,0.0,15.0,N,[],True,9.081415870263568e-05,9.081415870263567e-05,9.081415870263568e-05,9.081415870263568e-05,robust_hit,3,3,1,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,6.540138574981591,0.0,0.0,1.2807297557863861e-06,8.538198371909331e-08,6.576588961625336,6.576588961625336,0.0,0.0,0.999909104228227,True,0.0013634365765950935,0.0013627962117172003,0.001362155846839307,0,8,0,5.0,15.0,N,[],True,9.089577177300624e-05,9.08530807811467e-05,9.08530807811467e-05,9.081038978928714e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,11.069381203064363,0.0,0.0,3.0810929558373022e-06,2.054061970558111e-07,11.093941771985236,11.093941771985236,0.0,0.0,0.9999088470514181,True,0.0013672942287271325,0.0013657536822492139,0.0013642131357712952,0,8,0,10.0,15.0,N,[],True,9.115294858180883e-05,9.105024548328092e-05,9.105024548328092e-05,9.094754238475302e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,14.545114384155147,0.0,0.0,4.160751607134184e-06,2.773834404756168e-07,14.551442931719086,14.551442931719086,0.0,0.0,0.9999085840329586,True,0.001371239505621171,0.001369159129817604,0.0013670787540140368,0,8,0,15.0,15.0,N,[],True,9.14159670414114e-05,9.127727532117359e-05,9.127727532117359e-05,9.113858360093579e-05,robust_hit,6,3,2,False
cell_and_all_existing_8_neighbors_robust_hit,False,8,main,6,17.43060480900151,0.0,0.0,2.6033770631958813e-06,1.7355847087972994e-07,17.437814900196898,17.437814900196898,0.0,0.0,0.9999089012952488,True,0.00136648057126798,0.0013651788827363821,0.001363877194204784,0,8,0,20.0,15.0,N,[],True,9.109870475119867e-05,9.101192551575881e-05,9.101192551575881e-05,9.092514628031894e-05,robust_hit,6,3,2,False
